"inst_id","type","name","department","address","city","state","zip"
"1","Academia","Michigan State University","Computer Science",NULL,"East Lansing","Michigan",NULL
"2","Manufacturing","tesa tape, inc.",NULL,NULL,"Sparta","Michigan",NULL
